YEAR,ACPR_CODE_2018,ACPR_NAME_2018,STATE,CARE_TYPE,total_admissions,pct_indigenous,pct_female,pct_cald
2024,201,Barwon-South Western,VIC,Permanent residential care,1846,0.0,0.5812567713976164,0.05417118093174431
2024,201,Barwon-South Western,VIC,Respite residential care,2955,0.0,0.5925549915397631,0.048730964467005075
2024,201,Barwon-South Western,VIC,Short-term restorative care,166,0.0,0.7108433734939759,0.10240963855421686
2024,201,Barwon-South Western,VIC,Transition care,317,0.0,0.5899053627760252,0.03785488958990536
2024,202,Eastern Metro,VIC,Home care,6954,0.0,0.6278400920333621,0.3189531205061835
2024,202,Eastern Metro,VIC,Permanent residential care,3954,0.0,0.5988872028325746,0.16970156803237227
2024,202,Eastern Metro,VIC,Respite residential care,6563,0.0,0.6105439585555387,0.1727868352887399
2024,202,Eastern Metro,VIC,Short-term restorative care,777,0.0,0.6036036036036037,0.32175032175032175
2024,202,Eastern Metro,VIC,Transition care,538,0.0,0.5910780669144982,0.18773234200743494
2024,203,Gippsland,VIC,Home care,1280,0.0,0.590625,0.025
2024,203,Gippsland,VIC,Permanent residential care,1210,0.0,0.6024793388429752,0.03305785123966942
2024,203,Gippsland,VIC,Respite residential care,1935,0.0,0.5731266149870801,0.03927648578811369
2024,203,Gippsland,VIC,Short-term restorative care,43,0.0,0.4186046511627907,0.046511627906976744
2024,203,Gippsland,VIC,Transition care,139,0.0,0.6115107913669064,0.02877697841726619
2024,204,Grampians,VIC,Home care,611,0.0,0.6153846153846154,0.03273322422258593
2024,204,Grampians,VIC,Permanent residential care,1051,0.0,0.5984776403425309,0.019029495718363463
2024,204,Grampians,VIC,Respite residential care,1110,0.0,0.5918918918918918,0.014414414414414415
2024,204,Grampians,VIC,Short-term restorative care,184,0.0,0.5815217391304348,0.021739130434782608
2024,204,Grampians,VIC,Transition care,181,0.0,0.6685082872928176,0.011049723756906077
2024,205,Hume,VIC,Home care,1070,0.0,0.6,0.09719626168224299
2024,205,Hume,VIC,Permanent residential care,1137,0.0,0.5839929639401935,0.05804749340369393
2024,205,Hume,VIC,Respite residential care,1626,0.0,0.5879458794587946,0.06273062730627306
2024,205,Hume,VIC,Short-term restorative care,211,0.0,0.6398104265402843,0.07109004739336493
2024,205,Hume,VIC,Transition care,263,0.0,0.6083650190114068,0.07604562737642585
2024,206,Loddon-Mallee,VIC,Home care,767,0.0,0.5932203389830508,0.04302477183833116
2024,206,Loddon-Mallee,VIC,Permanent residential care,1426,0.0,0.5995792426367461,0.028050490883590462
2024,206,Loddon-Mallee,VIC,Respite residential care,1701,0.0,0.6090534979423868,0.03292181069958848
2024,206,Loddon-Mallee,VIC,Short-term restorative care,35,0.0,0.7142857142857143,0.05714285714285714
2024,206,Loddon-Mallee,VIC,Transition care,314,0.0,0.6114649681528662,0.012738853503184714
2024,207,Northern Metro,VIC,Home care,2968,0.0,0.6270215633423181,0.4221698113207547
2024,207,Northern Metro,VIC,Permanent residential care,2449,0.0,0.5794201714985708,0.32380563495304204
2024,207,Northern Metro,VIC,Respite residential care,4050,0.0,0.5958024691358025,0.34617283950617284
2024,207,Northern Metro,VIC,Short-term restorative care,294,0.0,0.6530612244897959,0.5
2024,207,Northern Metro,VIC,Transition care,423,0.0,0.5721040189125296,0.32387706855791965
2024,208,Southern Metro,VIC,Home care,4973,0.0,0.6163281721294993,0.19585763120852603
2024,208,Southern Metro,VIC,Permanent residential care,4671,0.0,0.5919503318347249,0.15071719117961893
2024,208,Southern Metro,VIC,Respite residential care,6830,0.0,0.605710102489019,0.13748169838945828
2024,208,Southern Metro,VIC,Short-term restorative care,54,0.0,0.6296296296296297,0.3333333333333333
2024,208,Southern Metro,VIC,Transition care,746,0.0,0.6112600536193029,0.1769436997319035
2024,209,Western Metro,VIC,Home care,2428,0.0,0.6206754530477759,0.38344316309719934
2024,209,Western Metro,VIC,Permanent residential care,2024,0.0,0.5953557312252964,0.3221343873517787
2024,209,Western Metro,VIC,Respite residential care,3477,0.0,0.5918895599654875,0.3293068737417314
2024,209,Western Metro,VIC,Short-term restorative care,387,0.0,0.6459948320413437,0.3049095607235142
2024,209,Western Metro,VIC,Transition care,500,0.0,0.556,0.368
2024,301,Brisbane North,QLD,Home care,7260,0.0,0.6110192837465565,0.17892561983471075
2024,301,Brisbane North,QLD,Permanent residential care,1644,0.0,0.601581508515815,0.06690997566909976
2024,301,Brisbane North,QLD,Respite residential care,1578,0.0,0.5925221799746515,0.06717363751584284
2024,301,Brisbane North,QLD,Short-term restorative care,108,0.0,0.6574074074074074,0.07407407407407407
2024,301,Brisbane North,QLD,Transition care,447,0.0,0.5928411633109619,0.09172259507829977
2024,302,Brisbane South,QLD,Home care,4837,0.0,0.61794500723589,0.14306388257184205
2024,302,Brisbane South,QLD,Permanent residential care,2444,0.0,0.5846972176759411,0.1104746317512275
2024,302,Brisbane South,QLD,Respite residential care,2851,0.0,0.5903191862504384,0.13118204138898631
2024,302,Brisbane South,QLD,Transition care,401,0.0,0.6034912718204489,0.08229426433915212
2024,303,Cabool,QLD,Home care,2000,0.0,0.6125,0.1545
2024,303,Cabool,QLD,Permanent residential care,1576,0.0,0.5824873096446701,0.05266497461928934
2024,303,Cabool,QLD,Respite residential care,1356,0.0,0.6010324483775811,0.046460176991150445
2024,303,Cabool,QLD,Short-term restorative care,289,0.0,0.6089965397923875,0.05190311418685121
2024,304,Central West,QLD,Home care,16,0.0,0.5,0.0
2024,304,Central West,QLD,Permanent residential care,34,0.0,0.5294117647058824,0.058823529411764705
2024,304,Central West,QLD,Respite residential care,45,0.0,0.5777777777777777,0.022222222222222223
2024,304,Central West,QLD,Short-term restorative care,26,0.0,0.6923076923076923,0.07692307692307693
2024,305,Darling Downs,QLD,Home care,1234,0.0,0.5996758508914101,0.046191247974068074
2024,305,Darling Downs,QLD,Permanent residential care,1012,0.0,0.5869565217391305,0.040513833992094864
2024,305,Darling Downs,QLD,Respite residential care,1027,0.0,0.5569620253164557,0.0379746835443038
2024,305,Darling Downs,QLD,Short-term restorative care,87,0.0,0.6091954022988506,0.022988505747126436
2024,305,Darling Downs,QLD,Transition care,199,0.0,0.6381909547738693,0.05527638190954774
