year,SA3_CODE_2021,SA3_NAME_2021,state,n_sa2s,total_pop,pop_65_plus,pct_65_plus
2024,21703,Colac - Corangamite,Victoria,6,38110,9786,25.68
2025,21703,Colac - Corangamite,Victoria,6,38110,9786,25.68
2023,21704,Warrnambool,Victoria,4,53516,11594,21.66
2024,21704,Warrnambool,Victoria,4,53856,11967,22.22
2025,21704,Warrnambool,Victoria,4,53856,11967,22.22
2023,30101,Capalaba,Queensland,6,75708,13891,18.35
2024,30101,Capalaba,Queensland,6,76556,14360,18.76
2025,30101,Capalaba,Queensland,6,76556,14360,18.76
2023,30102,Cleveland - Stradbroke,Queensland,8,98920,22983,23.23
2024,30102,Cleveland - Stradbroke,Queensland,8,101572,24030,23.66
2025,30102,Cleveland - Stradbroke,Queensland,8,101572,24030,23.66
2023,30103,Wynnum - Manly,Queensland,8,75567,11663,15.43
2024,30103,Wynnum - Manly,Queensland,8,76920,12001,15.6
2025,30103,Wynnum - Manly,Queensland,8,76920,12001,15.6
2023,30201,Bald Hills - Everton Park,Queensland,5,48849,7725,15.81
2024,30201,Bald Hills - Everton Park,Queensland,5,49958,7834,15.68
2025,30201,Bald Hills - Everton Park,Queensland,5,49958,7834,15.68
2023,30202,Chermside,Queensland,8,77531,12050,15.54
2024,30202,Chermside,Queensland,8,79106,12215,15.44
2025,30202,Chermside,Queensland,8,79106,12215,15.44
2023,30203,Nundah,Queensland,6,45561,5962,13.09
2024,30203,Nundah,Queensland,6,46663,6094,13.06
2025,30203,Nundah,Queensland,6,46663,6094,13.06
2023,30204,Sandgate,Queensland,6,63679,10724,16.84
2024,30204,Sandgate,Queensland,6,64927,11020,16.97
2025,30204,Sandgate,Queensland,6,64927,11020,16.97
2023,30301,Carindale,Queensland,5,57005,8239,14.45
2024,30301,Carindale,Queensland,5,58034,8633,14.88
2025,30301,Carindale,Queensland,5,58034,8633,14.88
2023,30302,Holland Park - Yeronga,Queensland,8,84058,9617,11.44
2024,30302,Holland Park - Yeronga,Queensland,8,85824,9679,11.28
2025,30302,Holland Park - Yeronga,Queensland,8,85824,9679,11.28
2023,30303,Mt Gravatt,Queensland,7,84411,11422,13.53
2024,30303,Mt Gravatt,Queensland,7,86540,11624,13.43
2025,30303,Mt Gravatt,Queensland,7,86540,11624,13.43
2023,30304,Nathan,Queensland,5,42109,5330,12.66
2024,30304,Nathan,Queensland,5,43252,5429,12.55
2025,30304,Nathan,Queensland,5,43252,5429,12.55
2023,30305,Rocklea - Acacia Ridge,Queensland,5,74958,8293,11.06
2024,30305,Rocklea - Acacia Ridge,Queensland,5,77485,8570,11.06
2025,30305,Rocklea - Acacia Ridge,Queensland,5,77485,8570,11.06
2023,30306,Sunnybank,Queensland,4,53213,7659,14.39
2024,30306,Sunnybank,Queensland,4,54686,7830,14.32
2025,30306,Sunnybank,Queensland,4,54686,7830,14.32
2023,30401,Centenary,Queensland,5,33615,6243,18.57
2024,30401,Centenary,Queensland,5,33928,6416,18.91
2025,30401,Centenary,Queensland,5,33928,6416,18.91
2023,30402,Kenmore - Brookfield - Moggill,Queensland,6,49354,8515,17.25
2024,30402,Kenmore - Brookfield - Moggill,Queensland,6,50031,8555,17.1
2025,30402,Kenmore - Brookfield - Moggill,Queensland,6,50031,8555,17.1
2023,30403,Sherwood - Indooroopilly,Queensland,6,58899,7771,13.19
2024,30403,Sherwood - Indooroopilly,Queensland,6,60753,8037,13.23
2025,30403,Sherwood - Indooroopilly,Queensland,6,60753,8037,13.23
2023,30404,The Gap - Enoggera,Queensland,7,56777,8155,14.36
2024,30404,The Gap - Enoggera,Queensland,7,57852,8284,14.32
2025,30404,The Gap - Enoggera,Queensland,7,57852,8284,14.32
2023,30501,Brisbane Inner,Queensland,8,99944,9504,9.51
2024,30501,Brisbane Inner,Queensland,8,104824,9915,9.46
2025,30501,Brisbane Inner,Queensland,8,104824,9915,9.46
2023,30502,Brisbane Inner - East,Queensland,6,47193,4703,9.97
2024,30502,Brisbane Inner - East,Queensland,6,48286,4883,10.11
