sa3_code,sa3_name,n_facilities,n_residential,n_homecare,residential_places,homecare_places,n_nfp,n_government,n_private,year
31303.0,Caboolture Hinterland,2,2,0,115.0,0.0,1,0,1,2025
31304.0,Narangba - Burpengary,6,6,0,613.0,0.0,2,0,4,2025
31305.0,Redcliffe,22,10,11,966.0,0.0,12,1,9,2025
31401.0,The Hills District,4,2,2,170.0,0.0,2,0,2,2025
31402.0,North Lakes,12,6,6,588.0,0.0,6,0,6,2025
31403.0,Strathpine,7,3,4,310.0,0.0,2,0,5,2025
31501.0,Far North,16,5,11,117.0,12.0,3,12,1,2025
31502.0,Outback - North,14,6,4,150.0,67.0,7,7,0,2025
31503.0,Outback - South,16,9,6,200.0,19.0,5,11,0,2025
31601.0,Buderim,8,4,3,485.0,0.0,6,0,2,2025
31602.0,Caloundra,37,16,21,1613.0,0.0,15,0,22,2025
31603.0,Maroochy,25,11,10,1181.0,0.0,16,0,9,2025
31605.0,Noosa,11,6,5,768.0,0.0,6,0,5,2025
31606.0,Sunshine Coast Hinterland,6,3,3,252.0,0.0,6,0,0,2025
31607.0,Nambour,12,8,3,531.0,0.0,8,2,2,2025
31608.0,Noosa Hinterland,1,1,0,92.0,0.0,1,0,0,2025
31701.0,Toowoomba,38,17,20,1689.0,0.0,26,2,10,2025
31801.0,Charters Towers - Ayr - Ingham,13,7,6,538.0,0.0,9,1,3,2025
31802.0,Townsville,31,12,16,1281.0,60.0,23,3,5,2025
31901.0,Bundaberg,21,10,10,891.0,0.0,14,2,5,2025
31902.0,Burnett,16,12,4,476.0,5.0,12,4,0,2025
31903.0,Gympie - Cooloola,7,5,2,445.0,0.0,5,0,2,2025
31904.0,Hervey Bay,18,9,9,898.0,0.0,13,0,5,2025
31905.0,Maryborough,7,5,2,536.0,0.0,5,0,2,2025
40101.0,Adelaide City,20,2,17,165.0,0.0,13,1,6,2025
40102.0,Adelaide Hills,12,10,1,622.0,0.0,7,3,2,2025
40103.0,Burnside,13,5,8,496.0,0.0,8,0,5,2025
40104.0,Campbelltown (SA),17,9,7,634.0,0.0,14,0,3,2025
40105.0,Norwood - Payneham - St Peters,15,5,9,414.0,0.0,5,0,10,2025
40106.0,Prospect - Walkerville,9,3,6,257.0,0.0,8,0,1,2025
40107.0,Unley,20,13,6,1051.0,0.0,15,0,5,2025
40201.0,Gawler - Two Wells,4,4,0,375.0,0.0,3,0,1,2025
40202.0,Playford,13,9,2,863.0,0.0,11,0,2,2025
40203.0,Port Adelaide - East,14,10,3,663.0,0.0,3,2,9,2025
40204.0,Salisbury,19,14,4,1137.0,1.0,11,0,8,2025
40205.0,Tea Tree Gully,10,8,2,935.0,0.0,7,0,3,2025
40301.0,Holdfast Bay,9,6,3,551.0,0.0,6,2,1,2025
40302.0,Marion,16,8,6,1021.0,0.0,13,1,2,2025
40303.0,Mitcham,14,10,4,873.0,0.0,10,0,4,2025
40304.0,Onkaparinga,19,17,2,1672.0,0.0,14,0,5,2025
40401.0,Charles Sturt,28,16,11,1426.0,0.0,25,0,3,2025
40402.0,Port Adelaide - West,9,6,2,569.0,0.0,6,1,2,2025
40403.0,West Torrens,15,9,4,890.0,60.0,7,0,8,2025
40501.0,Barossa,12,6,6,375.0,0.0,9,2,1,2025
40502.0,Lower North,13,11,2,404.0,0.0,7,6,0,2025
40503.0,Mid North,16,12,4,374.0,0.0,9,7,0,2025
40504.0,Yorke Peninsula,12,8,4,365.0,0.0,9,2,1,2025
40601.0,Eyre Peninsula and South West,22,14,6,501.0,65.0,10,11,1,2025
40602.0,Outback - North and East,11,5,3,218.0,27.0,5,4,2,2025
40701.0,Fleurieu - Kangaroo Island,15,10,5,768.0,8.0,9,2,4,2025
40702.0,Limestone Coast,16,13,3,729.0,0.0,8,7,1,2025
40703.0,Murray and Mallee,21,16,4,827.0,0.0,10,11,0,2025
50101.0,Augusta - Margaret River - Busselton,10,6,4,505.0,4.0,8,1,1,2025
50102.0,Bunbury,30,10,17,816.0,75.0,23,1,6,2025
50103.0,Manjimup,7,6,1,175.0,8.0,2,4,1,2025
50201.0,Mandurah,17,11,6,982.0,0.0,14,0,3,2025
50301.0,Cottesloe - Claremont,17,11,5,903.0,0.0,6,1,10,2025
50302.0,Perth City,57,24,29,1786.0,50.0,26,1,30,2025
50401.0,Bayswater - Bassendean,15,11,3,744.0,0.0,10,1,4,2025
50402.0,Mundaring,2,2,0,167.0,0.0,1,0,1,2025
50403.0,Swan,15,8,5,715.0,0.0,7,1,7,2025
50501.0,Joondalup,24,10,11,700.0,0.0,17,3,4,2025
50502.0,Stirling,38,20,18,1849.0,0.0,27,0,11,2025
50503.0,Wanneroo,14,11,3,1131.0,0.0,10,0,4,2025
50601.0,Armadale,8,6,2,366.0,0.0,7,0,1,2025
50602.0,Belmont - Victoria Park,44,9,31,704.0,0.0,31,1,12,2025
50603.0,Canning,28,13,13,1067.0,0.0,20,2,6,2025
50604.0,Gosnells,16,8,7,731.0,0.0,13,0,3,2025
50605.0,Kalamunda,9,6,3,459.0,0.0,5,0,4,2025
50606.0,Serpentine - Jarrahdale,1,1,0,68.0,0.0,1,0,0,2025
