sa3_code,sa3_name,year,permanent,respite,total_residential,hcp_level1,hcp_level2,hcp_level3,hcp_level4,total_homecare,total_users,hcp_high_needs,pct_hcp_high
10805.0,Taree - Gloucester,2024,568.0,32.0,600.0,24,662,863,450,1999,2599.0,1313,0.6568284142071036
10805.0,Taree - Gloucester,2025,586.0,26.0,612.0,33,670,981,437,2121,2733.0,1418,0.6685525695426685
10901.0,Albury,2024,643.0,21.0,664.0,102,514,252,97,965,1629.0,349,0.3616580310880829
10901.0,Albury,2025,666.0,25.0,691.0,104,441,263,96,904,1595.0,359,0.3971238938053097
10902.0,Lower Murray,2024,89.0,7.0,96.0,34,103,35,13,185,281.0,48,0.2594594594594595
10902.0,Lower Murray,2025,90.0,10.0,100.0,27,87,40,9,163,263.0,49,0.3006134969325153
10903.0,Upper Murray exc. Albury,2024,409.0,35.0,444.0,147,409,140,36,732,1176.0,176,0.24043715846994534
10903.0,Upper Murray exc. Albury,2025,399.0,35.0,434.0,119,357,155,39,670,1104.0,194,0.28955223880597014
11001.0,Armidale,2024,273.0,20.0,293.0,25,155,101,58,339,632.0,159,0.4690265486725664
11001.0,Armidale,2025,282.0,13.0,295.0,15,149,118,69,351,646.0,187,0.5327635327635327
11002.0,Inverell - Tenterfield,2024,347.0,18.0,365.0,28,189,152,51,420,785.0,203,0.48333333333333334
11002.0,Inverell - Tenterfield,2025,361.0,27.0,388.0,25,192,182,58,457,845.0,240,0.5251641137855579
11003.0,Moree - Narrabri,2024,142.0,10.0,152.0,17,107,62,23,209,361.0,85,0.40669856459330145
11003.0,Moree - Narrabri,2025,151.0,5.0,156.0,13,90,77,19,199,355.0,96,0.4824120603015075
11004.0,Tamworth - Gunnedah,2024,656.0,21.0,677.0,53,318,223,100,694,1371.0,323,0.4654178674351585
11004.0,Tamworth - Gunnedah,2025,745.0,12.0,757.0,38,306,285,110,739,1496.0,395,0.5345060893098782
11101.0,Lake Macquarie - East,2024,987.0,26.0,1013.0,242,761,438,274,1715,2728.0,712,0.4151603498542274
11101.0,Lake Macquarie - East,2025,1071.0,21.0,1092.0,190,707,510,288,1695,2787.0,798,0.47079646017699117
11102.0,Lake Macquarie - West,2024,1094.0,39.0,1133.0,142,499,307,200,1148,2281.0,507,0.4416376306620209
11102.0,Lake Macquarie - West,2025,1088.0,27.0,1115.0,119,455,339,234,1147,2262.0,573,0.4995640802092415
11103.0,Newcastle,2024,1893.0,67.0,1960.0,191,884,522,459,2056,4016.0,981,0.4771400778210117
