sa3_code,sa3_name,state,year,total_pop,pop_65_plus
11703,Sydney Inner City,NSW,2021,220973.0,20501.0
11703,Sydney Inner City,NSW,2022,224514.0,20982.0
11703,Sydney Inner City,NSW,2023,237897.0,21545.0
11703,Sydney Inner City,NSW,2024,243970.0,22052.0
11801,Eastern Suburbs - North,NSW,2019,134820.0,20797.0
11801,Eastern Suburbs - North,NSW,2020,133183.0,20991.0
11801,Eastern Suburbs - North,NSW,2021,128419.0,20487.0
11801,Eastern Suburbs - North,NSW,2022,127943.0,20441.0
11801,Eastern Suburbs - North,NSW,2023,131322.0,20521.0
11801,Eastern Suburbs - North,NSW,2024,133328.0,20799.0
11802,Eastern Suburbs - South,NSW,2019,145279.0,20404.0
11802,Eastern Suburbs - South,NSW,2020,142490.0,20758.0
11802,Eastern Suburbs - South,NSW,2021,135210.0,20619.0
11802,Eastern Suburbs - South,NSW,2022,135741.0,20513.0
11802,Eastern Suburbs - South,NSW,2023,141819.0,20618.0
11802,Eastern Suburbs - South,NSW,2024,144589.0,20797.0
11901,Bankstown,NSW,2019,186353.0,26062.0
11901,Bankstown,NSW,2020,187781.0,26808.0
11901,Bankstown,NSW,2021,186879.0,27336.0
11901,Bankstown,NSW,2022,187191.0,27722.0
11901,Bankstown,NSW,2023,190315.0,28407.0
11901,Bankstown,NSW,2024,193256.0,29160.0
11902,Canterbury,NSW,2019,144897.0,19733.0
11902,Canterbury,NSW,2020,144515.0,20353.0
11902,Canterbury,NSW,2021,141730.0,20536.0
11902,Canterbury,NSW,2022,141126.0,20826.0
11902,Canterbury,NSW,2023,144815.0,21325.0
11902,Canterbury,NSW,2024,146381.0,21800.0
11903,Hurstville,NSW,2019,135513.0,21833.0
11903,Hurstville,NSW,2020,134870.0,22561.0
11903,Hurstville,NSW,2021,132318.0,23050.0
11903,Hurstville,NSW,2022,132345.0,23601.0
11903,Hurstville,NSW,2023,136244.0,24331.0
11903,Hurstville,NSW,2024,138899.0,24832.0
11904,Kogarah - Rockdale,NSW,2019,148950.0,22583.0
11904,Kogarah - Rockdale,NSW,2020,148954.0,23130.0
11904,Kogarah - Rockdale,NSW,2021,146589.0,23310.0
11904,Kogarah - Rockdale,NSW,2022,147048.0,23448.0
11904,Kogarah - Rockdale,NSW,2023,151949.0,23667.0
11904,Kogarah - Rockdale,NSW,2024,155571.0,24180.0
12001,Canada Bay,NSW,2019,89889.0,14093.0
12001,Canada Bay,NSW,2020,89181.0,14511.0
