sa3_code,sa3_name,year,residential_users,home_care_users,total_users
31106,Springwood - Kingston,2024,549,655,1204
31106,Springwood - Kingston,2025,549,714,1263
31201,Bowen Basin - North,2023,134,142,276
31201,Bowen Basin - North,2024,137,149,286
31201,Bowen Basin - North,2025,144,156,300
31202,Mackay,2023,781,537,1318
31202,Mackay,2024,802,503,1305
31202,Mackay,2025,804,546,1350
31203,Whitsunday,2023,98,61,159
31203,Whitsunday,2024,96,53,149
31203,Whitsunday,2025,94,65,159
31301,Bribie - Beachmere,2023,294,841,1135
31301,Bribie - Beachmere,2024,292,917,1209
31301,Bribie - Beachmere,2025,298,1002,1300
31302,Caboolture,2023,1185,897,2082
31302,Caboolture,2024,1189,946,2135
31302,Caboolture,2025,1195,1006,2201
31303,Caboolture Hinterland,2023,109,94,203
31303,Caboolture Hinterland,2024,112,132,244
31303,Caboolture Hinterland,2025,109,148,257
31304,Narangba - Burpengary,2023,586,622,1208
31304,Narangba - Burpengary,2024,588,696,1284
31304,Narangba - Burpengary,2025,589,749,1338
31305,Redcliffe,2023,853,969,1822
31305,Redcliffe,2024,856,1055,1911
31305,Redcliffe,2025,878,1134,2012
31401,The Hills District,2023,163,541,704
31401,The Hills District,2024,160,567,727
31401,The Hills District,2025,169,594,763
31402,North Lakes,2023,530,720,1250
31402,North Lakes,2024,554,756,1310
31402,North Lakes,2025,552,830,1382
31403,Strathpine,2023,205,339,544
31403,Strathpine,2024,248,348,596
31403,Strathpine,2025,297,389,686
31501,Far North,2023,63,220,283
31501,Far North,2024,58,254,312
31501,Far North,2025,65,265,330
31502,Outback - North,2023,50,110,160
31502,Outback - North,2024,44,109,153
31502,Outback - North,2025,47,107,154
31503,Outback - South,2023,78,135,213
31503,Outback - South,2024,77,140,217
31503,Outback - South,2025,81,142,223
31601,Buderim,2023,432,1155,1587
31601,Buderim,2024,467,1304,1771
31601,Buderim,2025,458,1441,1899
31602,Caloundra,2023,1220,1979,3199
31602,Caloundra,2024,1437,2265,3702
31602,Caloundra,2025,1499,2589,4088
31603,Maroochy,2023,1112,1015,2127
31603,Maroochy,2024,1128,1195,2323
31603,Maroochy,2025,1136,1307,2443
31605,Noosa,2023,544,738,1282
31605,Noosa,2024,584,858,1442
31605,Noosa,2025,656,954,1610
31606,Sunshine Coast Hinterland,2023,229,865,1094
31606,Sunshine Coast Hinterland,2024,246,1009,1255
31606,Sunshine Coast Hinterland,2025,248,1101,1349
31607,Nambour,2023,414,808,1222
31607,Nambour,2024,438,964,1402
31607,Nambour,2025,446,1024,1470
31608,Noosa Hinterland,2023,78,305,383
31608,Noosa Hinterland,2024,80,359,439
31608,Noosa Hinterland,2025,90,408,498
31701,Toowoomba,2023,1545,2453,3998
31701,Toowoomba,2024,1528,2469,3997
31701,Toowoomba,2025,1610,2372,3982
31801,Charters Towers - Ayr - Ingham,2023,436,656,1092
31801,Charters Towers - Ayr - Ingham,2024,456,642,1098
31801,Charters Towers - Ayr - Ingham,2025,447,624,1071
31802,Townsville,2023,1167,2106,3273
31802,Townsville,2024,1167,2093,3260
31802,Townsville,2025,1187,2113,3300
31901,Bundaberg,2023,826,1524,2350
31901,Bundaberg,2024,816,1632,2448
31901,Bundaberg,2025,824,1599,2423
31902,Burnett,2023,415,562,977
31902,Burnett,2024,410,642,1052
31902,Burnett,2025,416,665,1081
31903,Gympie - Cooloola,2023,388,1281,1669
31903,Gympie - Cooloola,2024,399,1550,1949
31903,Gympie - Cooloola,2025,403,1783,2186
31904,Hervey Bay,2023,810,1445,2255
31904,Hervey Bay,2024,822,1571,2393
31904,Hervey Bay,2025,830,1675,2505
31905,Maryborough,2023,460,748,1208
31905,Maryborough,2024,477,865,1342
31905,Maryborough,2025,500,904,1404
40101,Adelaide City,2023,149,122,271
40101,Adelaide City,2024,146,129,275
40101,Adelaide City,2025,136,157,293
40102,Adelaide Hills,2023,530,595,1125
40102,Adelaide Hills,2024,595,587,1182
40102,Adelaide Hills,2025,587,651,1238
40103,Burnside,2023,458,479,937
40103,Burnside,2024,476,510,986
40103,Burnside,2025,472,591,1063
40104,Campbelltown (SA),2023,596,913,1509
40104,Campbelltown (SA),2024,595,1047,1642
40104,Campbelltown (SA),2025,610,1246,1856
40105,"Norwood - Payneham - St
Peters",2023,406,614,1020
40105,Norwood - Payneham - St Peters,2024,399,646,1045
40105,Norwood - Payneham - St Peters,2025,385,742,1127
40106,Prospect - Walkerville,2023,247,316,563
40106,Prospect - Walkerville,2024,241,347,588
40106,Prospect - Walkerville,2025,242,420,662
40107,Unley,2023,916,478,1394
40107,Unley,2024,924,510,1434
40107,Unley,2025,975,596,1571
40201,Gawler - Two Wells,2023,316,335,651
40201,Gawler - Two Wells,2024,306,372,678
40201,Gawler - Two Wells,2025,353,439,792
40202,Playford,2023,721,1089,1810
40202,Playford,2024,810,1219,2029
40202,Playford,2025,811,1324,2135
40203,Port Adelaide - East,2023,590,979,1569
40203,Port Adelaide - East,2024,611,1078,1689
40203,Port Adelaide - East,2025,603,1188,1791
40204,Salisbury,2023,1058,1604,2662
40204,Salisbury,2024,1061,1865,2926
40204,Salisbury,2025,1080,2143,3223
40205,Tea Tree Gully,2023,867,1437,2304
40205,Tea Tree Gully,2024,896,1572,2468
40205,Tea Tree Gully,2025,895,1677,2572
40301,Holdfast Bay,2023,522,483,1005
40301,Holdfast Bay,2024,538,479,1017
40301,Holdfast Bay,2025,527,516,1043
40302,Marion,2023,945,1206,2151
40302,Marion,2024,974,1250,2224
40302,Marion,2025,973,1409,2382
40303,Mitcham,2023,759,735,1494
40303,Mitcham,2024,801,737,1538
40303,Mitcham,2025,836,808,1644
40304,Onkaparinga,2023,1598,2085,3683
40304,Onkaparinga,2024,1606,2279,3885
40304,Onkaparinga,2025,1609,2600,4209
40401,Charles Sturt,2023,1311,1880,3191
40401,Charles Sturt,2024,1338,2069,3407
40401,Charles Sturt,2025,1345,2363,3708
40402,Port Adelaide - West,2023,538,826,1364
40402,Port Adelaide - West,2024,523,948,1471
40402,Port Adelaide - West,2025,539,1095,1634
40403,West Torrens,2023,818,962,1780
40403,West Torrens,2024,831,1094,1925
40403,West Torrens,2025,840,1227,2067
40501,Barossa,2023,329,295,624
40501,Barossa,2024,329,308,637
40501,Barossa,2025,352,345,697
40502,Lower North,2023,314,270,584
40502,Lower North,2024,316,290,606
40502,Lower North,2025,310,308,618
40503,Mid North,2023,313,351,664
40503,Mid North,2024,311,352,663
40503,Mid North,2025,310,334,644
40504,Yorke Peninsula,2023,338,309,647
40504,Yorke Peninsula,2024,338,342,680
40504,Yorke Peninsula,2025,333,371,704
40601,Eyre Peninsula and South West,2023,247,908,1155
40601,Eyre Peninsula and South West,2024,245,1046,1291
40601,Eyre Peninsula and South West,2025,245,1172,1417
40602,Outback - North and East,2023,94,292,386
40602,Outback - North and East,2024,107,380,487
40602,Outback - North and East,2025,100,416,516
40701,Fleurieu - Kangaroo Island,2023,613,1439,2052
40701,Fleurieu - Kangaroo Island,2024,629,1394,2023
40701,Fleurieu - Kangaroo Island,2025,614,1575,2189
40702,Limestone Coast,2023,619,637,1256
40702,Limestone Coast,2024,590,666,1256
40702,Limestone Coast,2025,632,717,1349
40703,Murray and Mallee,2023,591,1229,1820
40703,Murray and Mallee,2024,617,1447,2064
40703,Murray and Mallee,2025,644,1576,2220
50101,"Augusta - Margaret River -
Busselton",2023,374,356,730
50101,Augusta - Margaret River - Busselton,2024,376,394,770
50101,Augusta - Margaret River - Busselton,2025,422,398,820
50102,Bunbury,2023,688,764,1452
50102,Bunbury,2024,731,811,1542
50102,Bunbury,2025,764,899,1663
50103,Manjimup,2023,125,175,300
50103,Manjimup,2024,132,200,332
50103,Manjimup,2025,135,239,374
50201,Mandurah,2023,805,1319,2124
50201,Mandurah,2024,819,1326,2145
50201,Mandurah,2025,878,1324,2202
50301,Cottesloe - Claremont,2023,761,526,1287
50301,Cottesloe - Claremont,2024,822,558,1380
50301,Cottesloe - Claremont,2025,786,571,1357
50302,Perth City,2023,1510,651,2161
50302,Perth City,2024,1616,682,2298
50302,Perth City,2025,1651,699,2350
50401,Bayswater - Bassendean,2023,710,775,1485
50401,Bayswater - Bassendean,2024,719,873,1592
50401,Bayswater - Bassendean,2025,714,966,1680
50402,Mundaring,2023,161,322,483
50402,Mundaring,2024,163,362,525
50402,Mundaring,2025,167,366,533
50403,Swan,2023,521,771,1292
50403,Swan,2024,675,862,1537
50403,Swan,2025,672,951,1623
50501,Joondalup,2023,617,1040,1657
50501,Joondalup,2024,660,997,1657
50501,Joondalup,2025,684,1023,1707
50502,Stirling,2023,1787,1965,3752
50502,Stirling,2024,1792,1993,3785
50502,Stirling,2025,1802,2090,3892
50503,Wanneroo,2023,1054,1197,2251
50503,Wanneroo,2024,1088,1219,2307
50503,Wanneroo,2025,1086,1347,2433
50601,Armadale,2023,310,534,844
50601,Armadale,2024,309,561,870
50601,Armadale,2025,350,599,949
50602,Belmont - Victoria Park,2023,540,602,1142
50602,Belmont - Victoria Park,2024,614,612,1226
50602,Belmont - Victoria Park,2025,654,619,1273
50603,Canning,2023,1033,814,1847
50603,Canning,2024,1002,825,1827
50603,Canning,2025,988,859,1847
50604,Gosnells,2023,651,901,1552
50604,Gosnells,2024,667,946,1613
50604,Gosnells,2025,707,965,1672
50605,Kalamunda,2023,367,445,812
50605,Kalamunda,2024,404,484,888
50605,Kalamunda,2025,430,535,965
50606,Serpentine - Jarrahdale,2023,67,123,190
50606,Serpentine - Jarrahdale,2024,63,124,187
50606,Serpentine - Jarrahdale,2025,68,142,210
50607,South Perth,2023,808,344,1152
50607,South Perth,2024,803,356,1159
50607,South Perth,2025,866,357,1223
50701,Cockburn,2023,791,889,1680
50701,Cockburn,2024,778,947,1725
50701,Cockburn,2025,796,1047,1843
50702,Fremantle,2023,617,426,1043
50702,Fremantle,2024,678,451,1129
50702,Fremantle,2025,710,495,1205
50703,Kwinana,2023,127,272,399
50703,Kwinana,2024,115,285,400
50703,Kwinana,2025,123,335,458
50704,Melville,2023,1070,1159,2229
50704,Melville,2024,1168,1168,2336
50704,Melville,2025,1341,1237,2578
50705,Rockingham,2023,711,999,1710
50705,Rockingham,2024,741,990,1731
50705,Rockingham,2025,734,991,1725
50901,Albany,2023,390,684,1074
50901,Albany,2024,410,709,1119
50901,Albany,2025,415,838,1253
50902,Wheat Belt - North,2023,137,1026,1163
50902,Wheat Belt - North,2024,130,1220,1350
50902,Wheat Belt - North,2025,145,1437,1582
50903,Wheat Belt - South,2023,134,203,337
50903,Wheat Belt - South,2024,132,271,403
50903,Wheat Belt - South,2025,140,323,463
51001,Kimberley,2023,103,158,261
51001,Kimberley,2024,107,145,252
51001,Kimberley,2025,116,150,266
51002,East Pilbara,2023,34,33,67
51002,East Pilbara,2024,37,41,78
51002,East Pilbara,2025,38,36,74
51003,West Pilbara,2023,15,30,45
51003,West Pilbara,2024,15,33,48
51003,West Pilbara,2025,16,33,49
51101,Esperance,2023,61,80,141
51101,Esperance,2024,89,65,154
51101,Esperance,2025,100,87,187
51102,Gascoyne,2023,0,23,23
51102,Gascoyne,2024,0,34,34
51102,Gascoyne,2025,0,36,36
51103,Goldfields,2023,88,124,212
51103,Goldfields,2024,94,127,221
51103,Goldfields,2025,103,137,240
51104,Mid West,2023,279,238,517
51104,Mid West,2024,271,251,522
51104,Mid West,2025,277,364,641
60101,Brighton,2023,74,128,202
60101,Brighton,2024,70,165,235
60101,Brighton,2025,71,179,250
60102,Hobart - North East,2023,509,611,1120
60102,Hobart - North East,2024,500,663,1163
60102,Hobart - North East,2025,548,677,1225
60103,Hobart - North West,2023,545,749,1294
60103,Hobart - North West,2024,536,783,1319
60103,Hobart - North West,2025,559,796,1355
60104,Hobart - South and West,2023,193,367,560
60104,Hobart - South and West,2024,198,389,587
60104,Hobart - South and West,2025,211,384,595
60105,Hobart Inner,2023,593,401,994
60105,Hobart Inner,2024,589,421,1010
60105,Hobart Inner,2025,606,444,1050
60106,Sorell - Dodges Ferry,2023,68,158,226
60106,Sorell - Dodges Ferry,2024,61,176,237
60106,Sorell - Dodges Ferry,2025,63,195,258
60201,Launceston,2023,1071,911,1982
60201,Launceston,2024,1050,891,1941
60201,Launceston,2025,1072,885,1957
60202,Meander Valley - West Tamar,2023,80,207,287
60202,Meander Valley - West Tamar,2024,78,211,289
60202,Meander Valley - West Tamar,2025,84,222,306
60203,North East,2023,223,407,630
60203,North East,2024,217,439,656
60203,North East,2025,221,476,697
60301,Central Highlands (Tas.),2023,18,86,104
60301,Central Highlands (Tas.),2024,18,95,113
60301,Central Highlands (Tas.),2025,18,111,129
60302,Huon - Bruny Island,2023,91,245,336
60302,Huon - Bruny Island,2024,83,256,339
60302,Huon - Bruny Island,2025,101,269,370
60303,South East Coast,2023,46,102,148
60303,South East Coast,2024,50,103,153
60303,South East Coast,2025,49,117,166
60401,Burnie - Ulverstone,2023,524,694,1218
60401,Burnie - Ulverstone,2024,532,721,1253
60401,Burnie - Ulverstone,2025,532,765,1297
60402,Devonport,2023,476,648,1124
60402,Devonport,2024,472,673,1145
60402,Devonport,2025,479,713,1192
60403,West Coast,2023,87,149,236
60403,West Coast,2024,90,153,243
60403,West Coast,2025,96,146,242
70101,Darwin City,2023,83,103,186
70101,Darwin City,2024,85,106,191
70101,Darwin City,2025,85,118,203
70102,Darwin Suburbs,2023,160,307,467
70102,Darwin Suburbs,2024,152,297,449
70102,Darwin Suburbs,2025,157,343,500
70103,Litchfield,2023,0,93,93
70103,Litchfield,2024,0,101,101
70103,Litchfield,2025,0,116,116
70104,Palmerston,2023,79,142,221
70104,Palmerston,2024,83,141,224
70104,Palmerston,2025,83,157,240
70201,Alice Springs,2023,151,211,362
70201,Alice Springs,2024,155,216,371
70201,Alice Springs,2025,152,159,311
70202,Barkly,2023,0,9,9
70202,Barkly,2024,0,12,12
70202,Barkly,2025,0,5,5
70203,Daly - Tiwi - West Arnhem,2023,0,76,76
70203,Daly - Tiwi - West Arnhem,2024,0,88,88
70203,Daly - Tiwi - West Arnhem,2025,0,77,77
70204,East Arnhem,2023,0,126,126
70204,East Arnhem,2024,0,137,137
70204,East Arnhem,2025,0,103,103
70205,Katherine,2023,45,57,102
70205,Katherine,2024,53,71,124
70205,Katherine,2025,52,82,134
80101,Belconnen,2023,539,626,1165
80101,Belconnen,2024,557,684,1241
80101,Belconnen,2025,574,753,1327
80103,Canberra East,2023,0,15,15
80103,Canberra East,2024,0,15,15
80103,Canberra East,2025,0,14,14
80104,Gungahlin,2023,0,243,243
80104,Gungahlin,2024,0,262,262
80104,Gungahlin,2025,0,305,305
80105,North Canberra,2023,300,334,634
80105,North Canberra,2024,295,334,629
80105,North Canberra,2025,298,350,648
80106,South Canberra,2023,366,222,588
80106,South Canberra,2024,374,222,596
80106,South Canberra,2025,390,223,613
80107,Tuggeranong,2023,353,767,1120
80107,Tuggeranong,2024,365,805,1170
80107,Tuggeranong,2025,368,900,1268
80108,Weston Creek,2023,359,211,570
80108,Weston Creek,2024,348,223,571
80108,Weston Creek,2025,359,247,606
80109,Woden Valley,2023,519,320,839
80109,Woden Valley,2024,532,322,854
80109,Woden Valley,2025,549,348,897
80110,Molonglo,2023,0,11,11
80110,Molonglo,2024,0,10,10
80110,Molonglo,2025,0,16,16
80111,Urriarra - Namadgi,2025,0,1,1
90103,Jervis Bay,2023,0,9,9
90103,Jervis Bay,2024,0,9,9
90103,Jervis Bay,2025,0,12,12
90104,Norfolk Island,2023,0,1,1
90104,Norfolk Island,2024,0,1,1
