sa3_code,sa3_name,year,residential_users,home_care_users,total_users
20103,Maryborough - Pyrenees,2023,274,190,464
20103,Maryborough - Pyrenees,2024,264,215,479
20103,Maryborough - Pyrenees,2025,266,269,535
20201,Bendigo,2023,1065,730,1795
20201,Bendigo,2024,1104,768,1872
20201,Bendigo,2025,1134,853,1987
20202,"Heathcote - Castlemaine -
Kyneton",2023,483,347,830
20202,Heathcote - Castlemaine - Kyneton,2024,517,373,890
20202,Heathcote - Castlemaine - Kyneton,2025,541,416,957
20203,Loddon - Elmore,2023,58,83,141
20203,Loddon - Elmore,2024,57,85,142
20203,Loddon - Elmore,2025,56,102,158
20301,Barwon - West,2023,157,163,320
20301,Barwon - West,2024,154,174,328
20301,Barwon - West,2025,167,185,352
20302,Geelong,2023,2159,2516,4675
20302,Geelong,2024,2245,2800,5045
20302,Geelong,2025,2321,2989,5310
20303,"Surf Coast - Bellarine
Peninsula",2023,790,893,1683
20303,Surf Coast - Bellarine Peninsula,2024,905,998,1903
20303,Surf Coast - Bellarine Peninsula,2025,931,1141,2072
20401,Upper Goulburn Valley,2023,572,404,976
20401,Upper Goulburn Valley,2024,579,420,999
20401,Upper Goulburn Valley,2025,586,415,1001
20402,Wangaratta - Benalla,2023,613,484,1097
20402,Wangaratta - Benalla,2024,573,435,1008
20402,Wangaratta - Benalla,2025,591,382,973
20403,Wodonga - Alpine,2023,553,580,1133
20403,Wodonga - Alpine,2024,563,521,1084
20403,Wodonga - Alpine,2025,583,490,1073
20501,Baw Baw,2023,460,697,1157
20501,Baw Baw,2024,450,746,1196
20501,Baw Baw,2025,526,783,1309
20502,Gippsland - East,2023,463,1241,1704
20502,Gippsland - East,2024,464,1300,1764
20502,Gippsland - East,2025,493,1403,1896
20503,Gippsland - South West,2023,676,1461,2137
20503,Gippsland - South West,2024,713,1598,2311
20503,Gippsland - South West,2025,716,1715,2431
20504,Latrobe Valley,2023,862,1455,2317
20504,Latrobe Valley,2024,860,1494,2354
20504,Latrobe Valley,2025,917,1576,2493
20505,Wellington,2023,432,928,1360
20505,Wellington,2024,425,925,1350
20505,Wellington,2025,428,969,1397
20601,Brunswick - Coburg,2023,388,1122,1510
20601,Brunswick - Coburg,2024,392,1168,1560
20601,Brunswick - Coburg,2025,405,1174,1579
20602,Darebin - South,2023,362,745,1107
20602,Darebin - South,2024,388,853,1241
20602,Darebin - South,2025,412,899,1311
20603,Essendon,2023,552,715,1267
20603,Essendon,2024,592,700,1292
20603,Essendon,2025,610,705,1315
20604,Melbourne City,2023,636,554,1190
20604,Melbourne City,2024,649,555,1204
20604,Melbourne City,2025,676,574,1250
20605,Port Phillip,2023,458,651,1109
20605,Port Phillip,2024,509,687,1196
20605,Port Phillip,2025,560,730,1290
20606,Stonnington - West,2023,213,473,686
20606,Stonnington - West,2024,194,464,658
20606,Stonnington - West,2025,188,468,656
20607,Yarra,2023,249,1074,1323
20607,Yarra,2024,245,1241,1486
20607,Yarra,2025,264,1268,1532
20701,Boroondara,2023,1799,1897,3696
20701,Boroondara,2024,1871,1997,3868
20701,Boroondara,2025,1943,2197,4140
20702,Manningham - West,2023,1127,1808,2935
20702,Manningham - West,2024,1213,2113,3326
20702,Manningham - West,2025,1246,2307,3553
20703,Whitehorse - West,2023,927,1686,2613
20703,Whitehorse - West,2024,1027,1922,2949
20703,Whitehorse - West,2025,1049,2012,3061
20801,Bayside,2023,1195,821,2016
20801,Bayside,2024,1207,843,2050
20801,Bayside,2025,1275,942,2217
20802,Glen Eira,2023,1406,1723,3129
20802,Glen Eira,2024,1475,1762,3237
20802,Glen Eira,2025,1514,1863,3377
20803,Kingston,2023,1019,1310,2329
20803,Kingston,2024,1035,1339,2374
20803,Kingston,2025,1071,1442,2513
20804,Stonnington - East,2023,639,306,945
20804,Stonnington - East,2024,627,317,944
20804,Stonnington - East,2025,643,364,1007
20901,Banyule,2023,1039,1350,2389
20901,Banyule,2024,1044,1535,2579
20901,Banyule,2025,1106,1603,2709
20902,Darebin - North,2023,875,1478,2353
20902,Darebin - North,2024,916,1642,2558
20902,Darebin - North,2025,951,1793,2744
20903,Nillumbik - Kinglake,2023,408,280,688
20903,Nillumbik - Kinglake,2024,476,344,820
20903,Nillumbik - Kinglake,2025,484,409,893
20904,Whittlesea - Wallan,2023,1220,1940,3160
20904,Whittlesea - Wallan,2024,1439,2185,3624
20904,Whittlesea - Wallan,2025,1556,2423,3979
21001,Keilor,2023,536,1099,1635
21001,Keilor,2024,555,1115,1670
21001,Keilor,2025,583,1139,1722
21002,Macedon Ranges,2023,147,140,287
21002,Macedon Ranges,2024,144,153,297
21002,Macedon Ranges,2025,261,188,449
21003,Moreland - North,2023,792,1285,2077
21003,Moreland - North,2024,869,1310,2179
21003,Moreland - North,2025,900,1289,2189
21004,Sunbury,2023,178,309,487
21004,Sunbury,2024,186,304,490
21004,Sunbury,2025,183,323,506
21005,Tullamarine - Broadmeadows,2023,589,1608,2197
21005,Tullamarine - Broadmeadows,2024,621,1706,2327
21005,Tullamarine - Broadmeadows,2025,627,1920,2547
21101,Knox,2023,1418,2073,3491
21101,Knox,2024,1433,2262,3695
21101,Knox,2025,1449,2320,3769
21102,Manningham - East,2023,320,247,567
21102,Manningham - East,2024,303,304,607
21102,Manningham - East,2025,321,319,640
21103,Maroondah,2023,1157,1638,2795
21103,Maroondah,2024,1198,1747,2945
21103,Maroondah,2025,1262,1796,3058
21104,Whitehorse - East,2023,641,958,1599
21104,Whitehorse - East,2024,649,1079,1728
21104,Whitehorse - East,2025,640,1138,1778
21105,Yarra Ranges,2023,864,1893,2757
21105,Yarra Ranges,2024,930,2156,3086
21105,Yarra Ranges,2025,1025,2239,3264
21201,Cardinia,2023,674,606,1280
21201,Cardinia,2024,713,605,1318
21201,Cardinia,2025,720,759,1479
21202,Casey - North,2023,1045,1314,2359
21202,Casey - North,2024,1069,1441,2510
21202,Casey - North,2025,1061,1615,2676
21203,Casey - South,2023,704,1199,1903
21203,Casey - South,2024,697,1306,2003
21203,Casey - South,2025,694,1499,2193
21204,Dandenong,2023,1569,3044,4613
21204,Dandenong,2024,1606,3144,4750
21204,Dandenong,2025,1624,3490,5114
21205,Monash,2023,2011,2736,4747
21205,Monash,2024,2073,3229,5302
21205,Monash,2025,2141,3433,5574
21301,Brimbank,2023,1126,2412,3538
21301,Brimbank,2024,1162,2624,3786
21301,Brimbank,2025,1159,2726,3885
21302,Hobsons Bay,2023,725,836,1561
21302,Hobsons Bay,2024,744,886,1630
21302,Hobsons Bay,2025,761,912,1673
21303,Maribyrnong,2023,504,831,1335
21303,Maribyrnong,2024,523,885,1408
21303,Maribyrnong,2025,539,887,1426
21304,Melton - Bacchus Marsh,2023,581,1130,1711
21304,Melton - Bacchus Marsh,2024,606,1231,1837
21304,Melton - Bacchus Marsh,2025,596,1315,1911
21305,Wyndham,2023,933,1028,1961
21305,Wyndham,2024,1073,1131,2204
21305,Wyndham,2025,1163,1216,2379
21401,Frankston,2023,1146,1358,2504
21401,Frankston,2024,1243,1395,2638
21401,Frankston,2025,1294,1547,2841
21402,Mornington Peninsula,2023,2037,2507,4544
21402,Mornington Peninsula,2024,2115,2666,4781
21402,Mornington Peninsula,2025,2217,2841,5058
21501,Grampians,2023,749,796,1545
21501,Grampians,2024,749,762,1511
21501,Grampians,2025,771,774,1545
