SA3_CODE_2021,snapshot_year,sa3_name,state,mmm_code,n_facilities,overall_rating,quality_score,residents_exp,staffing,compliance,quality_measures,rn_mins_actual,total_mins_actual
30703,2023,Granite Belt,QLD,MM4,10,4.0,4.0,3.9,3.8,4.3,4.0,,
30703,2024,Granite Belt,QLD,MM4,10,4.0,3.9,4.1,3.7,4.5,3.3,49.2,217.2
30703,2025,Granite Belt,QLD,MM4,10,4.1,4.125,4.1,4.1,4.6,3.7,57.4,225.2
30801,2023,Central Highlands (Qld),QLD,MM4,1,4.0,3.75,3.0,4.0,5.0,3.0,,
30801,2024,Central Highlands (Qld),QLD,MM4,1,4.0,3.75,3.0,4.0,5.0,3.0,48.0,231.0
30801,2025,Central Highlands (Qld),QLD,MM4,1,,,,,,,,
30803,2023,Rockhampton,QLD,MM2,13,3.615,3.346,3.846,2.615,4.154,2.769,,
30803,2024,Rockhampton,QLD,MM2,13,3.769,3.692,3.769,3.0,4.692,3.308,47.077,202.846
30803,2025,Rockhampton,QLD,MM2,12,3.667,3.639,3.556,3.222,4.778,3.0,53.0,216.0
30804,2023,Biloela,QLD,MM6,2,4.0,4.0,4.0,3.0,5.0,4.0,,
30804,2024,Biloela,QLD,MM6,2,4.0,3.875,3.5,2.5,5.0,4.5,39.5,201.0
30804,2025,Biloela,QLD,MM6,2,4.0,4.0,4.0,3.0,5.0,4.0,48.0,197.5
30805,2023,Gladstone,QLD,MM3,3,4.0,3.583,3.667,2.667,4.667,3.333,,
30805,2024,Gladstone,QLD,MM3,3,4.0,3.833,4.0,3.667,5.0,2.667,44.0,221.0
30805,2025,Gladstone,QLD,MM3,3,4.0,3.875,4.0,3.5,5.0,3.0,47.0,222.0
30901,2023,Broadbeach - Burleigh,QLD,MM1,2,4.0,3.25,4.0,2.0,5.0,2.0,,
30901,2024,Broadbeach - Burleigh,QLD,MM1,3,3.5,3.375,4.0,2.0,4.5,3.0,43.667,200.667
30901,2025,Broadbeach - Burleigh,QLD,MM1,3,4.0,3.75,4.0,3.0,4.5,3.5,49.5,215.5
30902,2023,Coolangatta,QLD,MM1,5,3.4,3.35,3.4,2.2,4.8,3.0,,
30902,2024,Coolangatta,QLD,MM1,5,3.6,3.45,3.4,2.6,4.8,3.0,39.4,200.8
30902,2025,Coolangatta,QLD,MM1,5,3.667,3.417,3.333,3.0,4.667,2.667,47.0,219.0
30903,2023,Gold Coast - North,QLD,MM1,11,3.636,3.568,3.545,2.636,4.727,3.364,,
30903,2024,Gold Coast - North,QLD,MM1,11,3.818,3.545,3.636,2.273,4.818,3.455,38.909,189.182
30903,2025,Gold Coast - North,QLD,MM1,11,4.167,3.875,4.0,3.167,5.0,3.333,46.667,209.167
30904,2023,Gold Coast Hinterland,QLD,MM1,1,4.0,3.75,3.0,2.0,5.0,5.0,,
30904,2024,Gold Coast Hinterland,QLD,MM1,1,3.0,3.0,3.0,3.0,5.0,1.0,38.0,214.0
30904,2025,Gold Coast Hinterland,QLD,MM1,1,4.0,3.5,3.0,2.0,5.0,4.0,49.0,180.0
30905,2023,Mudgeeraba - Tallebudgera,QLD,MM1,4,3.0,3.25,3.25,2.0,4.5,3.25,,
30905,2024,Mudgeeraba - Tallebudgera,QLD,MM1,4,3.75,3.688,3.5,2.25,4.75,4.25,39.25,200.0
30905,2025,Mudgeeraba - Tallebudgera,QLD,MM1,4,4.0,3.833,3.333,3.0,5.0,4.0,46.0,216.667
30906,2023,Nerang,QLD,MM1,2,3.5,3.375,3.5,2.0,5.0,3.0,,
30906,2024,Nerang,QLD,MM1,2,4.0,4.0,4.0,3.5,5.0,3.5,49.5,229.0
30906,2025,Nerang,QLD,MM1,2,4.5,4.125,4.0,3.5,5.0,4.0,51.5,228.0
30907,2023,Ormeau - Oxenford,QLD,MM1,7,3.667,3.458,3.5,2.167,4.667,3.5,,
30907,2024,Ormeau - Oxenford,QLD,MM1,8,3.875,3.438,3.625,2.625,4.625,2.875,34.125,170.5
30907,2025,Ormeau - Oxenford,QLD,MM1,8,4.0,3.821,4.0,3.286,4.714,3.286,46.429,217.857
30908,2023,Robina,QLD,MM1,6,3.0,3.188,3.75,1.5,3.75,3.75,,
30908,2024,Robina,QLD,MM1,8,3.5,3.274,3.167,2.429,4.143,3.429,39.125,198.875
30908,2025,Robina,QLD,MM1,8,3.667,3.571,3.167,3.429,4.167,3.714,49.0,220.429
30909,2023,Southport,QLD,MM1,13,3.583,3.562,3.5,2.167,4.583,4.0,,
30909,2024,Southport,QLD,MM1,13,3.692,3.75,3.385,3.0,4.692,3.923,44.0,202.385
30909,2025,Southport,QLD,MM1,12,4.0,3.833,3.917,3.167,4.75,3.5,47.833,214.5
30910,2023,Surfers Paradise,QLD,MM1,1,4.0,4.25,3.0,4.0,5.0,5.0,,
30910,2024,Surfers Paradise,QLD,MM1,1,4.0,3.5,3.0,3.0,5.0,3.0,42.0,228.0
30910,2025,Surfers Paradise,QLD,MM1,1,4.0,3.75,4.0,3.0,5.0,3.0,47.0,227.0
31001,2023,Forest Lake - Oxley,QLD,MM1,3,3.333,3.333,3.0,3.0,4.0,3.333,,
31001,2024,Forest Lake - Oxley,QLD,MM1,3,3.333,3.417,3.0,3.333,4.0,3.333,43.0,205.0
31001,2025,Forest Lake - Oxley,QLD,MM1,4,4.0,3.75,3.5,3.0,5.0,3.5,45.5,210.5
31002,2023,Ipswich Hinterland,QLD,MM2,6,4.0,3.917,3.667,3.667,4.5,3.833,,
31002,2024,Ipswich Hinterland,QLD,MM2,6,3.833,3.75,3.333,3.5,4.667,3.5,46.333,216.667
