acpr_code,acpr_name,state,year,total_users,n_permanent,n_respite,n_indigenous,n_male,n_female,n_nesb,n_english_speaking,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
204.0,Grampians,Vic,2020,2463,2403,60,7,787,1676,154,210,5,10,20,34,95,168,228,446,583,602,247,25
205.0,Hume,Vic,2020,2758,2670,88,8,953,1805,249,199,5,8,15,35,89,180,290,463,707,672,248,46
206.0,Loddon-Mallee,Vic,2020,3396,3315,81,22,1132,2264,181,200,7,16,19,51,115,235,341,585,787,822,368,50
207.0,Northern Metro,Vic,2020,6698,6532,166,13,2314,4384,2885,414,17,34,50,126,272,481,679,1214,1669,1577,531,48
208.0,Southern Metro,Vic,2020,11849,11579,270,26,3943,7906,3264,1571,21,24,68,158,395,835,1257,2035,2735,2875,1230,216
209.0,Western Metro,Vic,2020,5444,5349,95,20,1898,3546,2416,470,19,31,51,118,254,418,591,981,1285,1182,461,53
301.0,Brisbane North,Qld,2020,4084,3974,110,20,1342,2742,464,434,5,10,33,48,165,299,446,685,945,950,445,53
302.0,Brisbane South,Qld,2020,5919,5734,185,29,1951,3968,943,819,6,10,37,87,212,427,695,1042,1425,1335,555,87
303.0,Cabool,Qld,2020,3578,3466,112,35,1226,2352,234,523,4,11,30,47,130,292,459,672,815,760,310,48
304.0,Central West,Qld,2020,50,48,2,1,28,22,2,1,0,0,0,2,2,4,6,9,18,7,2,0
305.0,Darling Downs,Qld,2020,2329,2257,72,20,830,1499,101,180,6,7,12,41,75,170,243,474,557,519,192,33
306.0,Far North,Qld,2020,1826,1743,83,170,707,1119,243,195,5,7,25,40,113,154,259,344,393,357,111,18
307.0,Fitzroy,Qld,2020,1361,1342,19,35,478,883,51,81,4,4,7,26,45,102,174,265,338,260,121,15
308.0,Logan River Valley,Qld,2020,2045,1979,66,58,746,1299,314,375,3,9,12,41,104,211,281,374,466,367,163,14
309.0,Mackay,Qld,2020,792,778,14,12,269,523,55,57,1,0,10,13,29,67,88,153,195,175,53,8
310.0,North West,Qld,2020,56,55,1,10,19,37,7,1,0,1,1,0,1,7,16,14,9,6,1,0
311.0,Northern,Qld,2020,1773,1725,48,71,603,1170,158,137,5,2,15,30,62,153,205,337,452,360,134,18
312.0,South Coast,Qld,2020,4856,4736,120,28,1710,3146,633,945,9,16,27,70,190,351,554,901,1131,1083,459,65
313.0,South West,Qld,2020,169,156,13,16,63,106,1,4,0,1,0,4,4,23,27,28,39,25,16,1
314.0,Sunshine Coast,Qld,2020,4166,3961,205,28,1457,2709,343,644,8,9,24,48,136,292,499,710,1034,975,372,59
315.0,West Moreton,Qld,2020,1182,1147,35,19,403,779,65,117,3,1,8,20,54,90,148,223,272,265,83,15
