acpr_code,acpr_name,state,year,total_users,n_permanent,n_respite,n_indigenous,n_male,n_female,n_nesb,n_english_speaking,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
104,Hunter,NSW,2021,5925,5769,156,73,2028,3897,459,438,10,8,23,61,162,429,728,1072,1399,1379,559,95
105,Illawarra,NSW,2021,3935,3826,109,41,1356,2579,712,518,5,7,17,41,135,274,466,686,957,949,352,46
106,Inner West,NSW,2021,3827,3640,187,16,1453,2374,2026,244,7,5,25,69,156,312,438,686,906,814,353,55
107,Mid North Coast,NSW,2021,3894,3691,203,75,1355,2539,230,398,6,11,22,59,131,262,425,700,860,914,428,76
108,Nepean,NSW,2021,2160,2079,81,24,670,1490,345,322,2,2,11,23,88,182,291,414,491,424,206,26
109,New England,NSW,2021,1537,1476,61,47,553,984,37,81,1,3,12,27,64,126,158,309,374,337,106,20
110,Northern Sydney,NSW,2021,7848,7458,390,9,2489,5359,1729,952,6,8,17,43,183,432,694,1252,1853,2059,1115,186
111,Orana Far West,NSW,2021,1328,1283,45,42,433,895,50,54,0,4,7,16,46,96,167,266,310,295,110,11
112,Riverina/Murray,NSW,2021,2602,2452,150,35,912,1690,195,126,3,3,15,39,94,182,265,495,633,574,253,45
113,South East Sydney,NSW,2021,7601,7155,446,44,2614,4987,2318,709,21,17,36,79,251,501,797,1220,1773,1837,898,170
114,South West Sydney,NSW,2021,6487,6184,303,47,2297,4190,2667,510,6,11,23,64,234,516,764,1215,1552,1400,607,95
115,Southern Highlands,NSW,2021,1959,1871,88,23,655,1304,199,173,2,2,13,30,60,127,213,341,468,482,192,29
116,Western Sydney,NSW,2021,5506,5245,261,45,1931,3575,2125,435,14,15,30,73,226,435,661,970,1272,1168,564,78
201,Barwon-South Western,Vic,2021,4351,4211,140,12,1410,2941,507,431,9,10,30,63,144,296,435,740,1043,1065,448,67
202,Eastern Metro,Vic,2021,10105,9763,342,14,3254,6851,2752,1033,23,19,54,109,232,534,967,1714,2551,2605,1105,192
203,Gippsland,Vic,2021,2921,2765,156,24,984,1937,314,364,14,19,29,54,118,242,300,490,704,646,257,48
204,Grampians,Vic,2021,2504,2414,90,9,802,1702,159,204,5,8,20,31,94,186,239,429,601,601,258,32
205,Hume,Vic,2021,2773,2675,98,9,931,1842,240,206,4,5,15,32,89,169,311,465,678,682,278,45
206,Loddon-Mallee,Vic,2021,3448,3304,144,21,1155,2293,191,201,8,11,17,41,116,255,323,581,846,790,410,50
207,Northern Metro,Vic,2021,6202,5997,205,16,2116,4086,2654,397,6,25,40,105,239,464,658,1040,1581,1436,531,77
208,Southern Metro,Vic,2021,11749,11439,310,24,3952,7797,3260,1570,17,20,49,128,387,838,1269,2018,2785,2785,1232,221
209,Western Metro,Vic,2021,5078,4927,151,22,1746,3332,2242,437,13,24,36,92,228,405,564,913,1217,1075,440,71
301,Brisbane North,Qld,2021,4183,4050,133,20,1403,2780,479,443,4,5,17,42,162,323,471,724,905,1011,449,70
302,Brisbane South,Qld,2021,6014,5799,215,33,2050,3964,968,820,4,7,29,72,214,472,689,1106,1426,1348,551,96
303,Cabool,Qld,2021,3749,3629,120,29,1318,2431,252,544,1,9,21,42,142,303,481,730,847,780,344,49
304,Central West,Qld,2021,56,55,1,2,33,23,1,2,0,0,1,2,4,3,7,12,19,5,3,0
305,Darling Downs,Qld,2021,2530,2408,122,36,910,1620,112,176,3,5,8,40,97,178,306,488,618,540,215,32
306,Far North,Qld,2021,1896,1820,76,195,733,1163,253,202,2,6,23,40,115,154,264,372,413,348,140,19
307,Fitzroy,Qld,2021,1349,1312,37,31,483,866,46,87,3,3,4,19,52,98,179,271,331,254,113,22
308,Logan River Valley,Qld,2021,2194,2098,96,61,820,1374,347,397,2,6,14,31,104,221,336,398,498,403,157,24
309,Mackay,Qld,2021,890,874,16,13,306,584,67,67,1,0,4,11,26,72,122,167,237,177,63,10
310,North West,Qld,2021,54,54,0,14,19,35,6,1,0,0,2,1,1,7,13,12,10,7,1,0
311,Northern,Qld,2021,1737,1700,37,73,586,1151,143,139,5,3,8,23,65,160,225,339,408,360,127,14
312,South Coast,Qld,2021,4984,4839,145,24,1791,3193,651,985,6,13,18,53,173,376,615,919,1152,1070,506,83
313,South West,Qld,2021,155,152,3,16,54,101,0,6,0,1,0,2,4,18,26,25,37,25,15,1
314,Sunshine Coast,Qld,2021,4267,4050,217,27,1523,2744,341,684,5,8,19,38,135,282,518,778,1049,977,399,59
315,West Moreton,Qld,2021,1233,1200,33,19,415,818,69,120,1,1,6,13,50,101,157,236,280,280,90,18
316,Wide Bay,Qld,2021,2317,2233,84,48,826,1491,150,216,0,4,15,24,81,166,304,441,565,490,203,24
401,Eyre Peninsula,SA,2021,269,259,10,5,98,171,24,49,1,4,3,7,7,16,24,69,56,57,22,3
402,"Hills, Mallee & Southern",SA,2021,1413,1350,63,9,442,971,121,231,0,2,4,10,32,90,158,225,343,342,179,28
403,Metropolitan East,SA,2021,2798,2654,144,5,875,1923,604,322,2,3,6,19,64,153,261,447,616,774,392,61
404,Metropolitan North,SA,2021,3264,3105,159,22,1078,2186,646,726,3,6,12,47,112,272,401,582,780,711,290,48
405,Metropolitan South,SA,2021,3862,3689,173,13,1229,2633,465,669,3,6,9,33,115,252,397,596,903,996,459,93
406,Metropolitan West,SA,2021,2725,2607,118,16,906,1819,927,253,2,6,8,31,97,178,251,478,655,660,310,49
407,Mid North,SA,2021,323,310,13,2,112,211,19,21,0,3,0,7,12,23,33,71,64,69,33,8
408,Riverland,SA,2021,378,362,16,2,136,242,45,23,1,1,2,7,17,30,43,79,65,91,37,5
409,South East,SA,2021,621,596,25,5,199,422,41,38,0,1,1,2,16,47,75,121,151,140,56,11
410,Flinders & Far North,SA,2021,101,83,18,7,43,58,10,11,1,0,0,1,4,12,21,19,26,13,4,0
411,"Yorke, Lower North & Barossa",SA,2021,1276,1218,58,10,408,868,56,151,4,4,7,10,42,84,143,221,317,284,141,19
501,Goldfields,WA,2021,204,204,0,32,64,140,15,26,0,3,2,6,8,24,36,31,44,32,17,1
502,Great Southern,WA,2021,404,395,9,6,117,287,28,81,0,1,1,7,14,24,49,85,80,97,39,7
503,Kimberley,WA,2021,110,110,0,81,51,59,3,2,2,5,4,10,14,13,11,24,10,9,8,0
504,Metropolitan East,WA,2021,2451,2404,47,17,872,1579,580,533,2,5,11,54,109,213,321,458,535,494,216,33
505,Metropolitan North,WA,2021,4613,4538,75,17,1488,3125,1012,1060,3,4,20,35,118,298,453,800,1163,1091,531,96
506,Metropolitan South East,WA,2021,3299,3230,69,40,1120,2179,647,814,1,5,17,48,103,252,364,586,801,753,311,58
507,Metropolitan South West,WA,2021,3860,3760,100,19,1266,2594,673,922,1,4,14,28,120,219,411,721,936,944,397,65
508,Mid West,WA,2021,276,276,0,16,104,172,23,38,0,0,2,4,10,15,39,57,67,59,19,4
509,Pilbara,WA,2021,58,58,0,44,33,25,1,3,2,3,3,7,12,10,2,11,4,2,1,1
510,South West,WA,2021,1103,1083,20,12,336,767,101,225,1,2,6,11,26,55,113,199,298,268,106,18
511,Wheatbelt,WA,2021,285,276,9,11,111,174,16,40,0,0,1,2,9,23,46,55,67,59,19,4
601,North Western,Tas,2021,1093,1073,20,15,372,721,48,103,4,8,4,18,33,70,124,220,262,249,89,12
602,Northern,Tas,2021,1374,1344,30,12,483,891,81,151,1,3,6,12,60,107,150,251,341,300,124,19
603,Southern,Tas,2021,2155,2099,56,24,719,1436,199,286,1,4,9,25,87,169,252,389,519,481,191,28
701,Alice Springs,NT,2021,156,135,21,91,46,110,11,8,1,3,6,13,12,24,24,25,25,15,7,1
703,Darwin,NT,2021,312,307,5,62,129,183,61,42,0,1,3,6,24,48,38,67,53,60,8,4
705,Katherine,NT,2021,49,47,2,29,29,20,2,1,0,1,1,5,6,9,7,7,9,2,2,0
801,ACT,ACT,2021,2342,2267,75,7,778,1564,510,287,0,0,4,8,56,178,272,428,581,530,248,37
101.0,Central Coast,NSW,2020,3360,3252,108,33,1168,2192,269,423,2,9,29,55,110,232,381,544,786,830,335,47
102.0,Central West,NSW,2020,1826,1777,49,48,672,1154,104,84,14,12,34,49,82,137,204,332,429,378,138,17
103.0,Far North Coast,NSW,2020,3367,3259,108,30,1168,2199,178,378,7,7,21,60,121,196,340,595,780,798,380,62
104.0,Hunter,NSW,2020,5953,5775,178,70,2023,3930,431,454,12,14,34,68,194,422,706,1082,1409,1340,592,80
105.0,Illawarra,NSW,2020,3945,3864,81,48,1357,2588,740,502,8,7,22,61,146,261,464,684,1001,927,324,40
106.0,Inner West,NSW,2020,3856,3744,112,15,1441,2415,2040,229,7,8,38,81,171,328,408,714,901,817,326,56
107.0,Mid North Coast,NSW,2020,3918,3728,190,71,1367,2551,216,401,6,15,34,69,141,286,421,677,900,913,395,61
108.0,Nepean,NSW,2020,2046,1997,49,20,654,1392,328,304,2,8,12,35,84,164,258,375,453,431,193,31
109.0,New England,NSW,2020,1484,1424,60,41,515,969,33,69,0,5,16,31,73,97,170,291,360,322,100,19
110.0,Northern Sydney,NSW,2020,7881,7536,345,10,2440,5441,1686,990,9,9,22,58,191,420,710,1231,1857,2146,1073,155
111.0,Orana Far West,NSW,2020,1311,1271,40,36,429,882,49,58,1,5,7,19,49,92,150,227,325,325,101,10
112.0,Riverina/Murray,NSW,2020,2584,2472,112,30,896,1688,202,111,6,8,17,39,110,176,270,483,620,593,221,40
113.0,South East Sydney,NSW,2020,7529,7168,361,41,2596,4933,2279,710,21,21,54,99,253,489,751,1214,1832,1786,860,149
114.0,South West Sydney,NSW,2020,6389,6182,207,36,2254,4135,2610,499,11,9,36,86,240,492,720,1203,1492,1408,600,92
115.0,Southern Highlands,NSW,2020,1955,1874,81,16,666,1289,192,177,2,5,22,34,63,142,213,346,470,463,169,26
116.0,Western Sydney,NSW,2020,5492,5308,184,49,1942,3550,2107,423,21,19,49,106,238,420,661,971,1270,1126,542,69
201.0,Barwon-South Western,Vic,2020,4370,4246,124,14,1377,2993,521,434,8,11,43,61,162,265,408,753,1084,1056,464,54
202.0,Eastern Metro,Vic,2020,10131,9858,273,16,3195,6936,2770,1037,26,30,64,124,252,512,986,1720,2597,2587,1055,178
203.0,Gippsland,Vic,2020,3004,2872,132,22,991,2013,331,372,18,24,31,58,133,226,317,532,688,669,270,38
