acpr_code,acpr_name,state,year,total_users,n_male,n_female,n_indigenous,n_nesb,n_english_speaking,hcp_l1,hcp_l2,hcp_l3,hcp_l4,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
508.0,Mid West,WA,2020,178,71,107,15,13,23,0,57,29,92,0,0,5,4,13,18,23,47,41,21,6,0
509.0,Pilbara,WA,2020,42,16,26,16,1,3,1,18,10,13,0,3,4,4,3,5,11,5,4,2,1,0
510.0,South West,WA,2020,770,260,510,6,70,168,25,191,176,378,2,1,5,9,39,74,116,171,175,132,45,1
511.0,Wheatbelt,WA,2020,516,210,306,14,39,67,17,120,147,232,1,1,9,16,41,77,112,108,91,48,11,1
601.0,North Western,Tas,2020,568,197,371,13,35,71,99,238,93,138,0,0,0,7,32,75,106,153,117,65,13,0
602.0,Northern,Tas,2020,1091,356,735,15,121,113,84,495,234,278,0,0,4,5,71,133,192,256,239,139,47,5
603.0,Southern,Tas,2020,1769,606,1162,52,191,226,190,719,437,423,0,2,14,20,130,205,301,413,402,222,57,3
701.0,Alice Springs,NT,2020,157,53,104,56,10,11,0,97,20,40,0,3,6,9,18,35,29,18,21,15,3,0
702.0,Barkly,NT,2020,6,4,2,4,1,0,0,4,0,2,0,0,1,0,0,2,1,2,0,0,0,0
703.0,Darwin,NT,2020,328,139,189,59,79,31,1,98,81,148,0,0,10,10,25,53,58,78,58,26,9,1
