YEAR,ACPR_CODE_2018,ACPR_NAME_2018,CARE_TYPE,INDIGENOUS_STATUS,count
2024,104,Hunter,Respite residential care,Indigenous,28
2024,104,Hunter,Respite residential care,Non-Indigenous,1929
2024,104,Hunter,Respite residential care,Unknown,348
2024,104,Hunter,Short-term restorative care,Indigenous,7
2024,104,Hunter,Short-term restorative care,Non-Indigenous,199
2024,104,Hunter,Short-term restorative care,Unknown,65
2024,104,Hunter,Transition care,Indigenous,12
2024,104,Hunter,Transition care,Non-Indigenous,242
2024,104,Hunter,Transition care,Unknown,102
2024,105,Illawarra,Home care,Indigenous,21
2024,105,Illawarra,Home care,Non-Indigenous,977
2024,105,Illawarra,Home care,Unknown,91
2024,105,Illawarra,Permanent residential care,Indigenous,11
2024,105,Illawarra,Permanent residential care,Non-Indigenous,1267
2024,105,Illawarra,Permanent residential care,Unknown,232
2024,105,Illawarra,Respite residential care,Indigenous,16
2024,105,Illawarra,Respite residential care,Non-Indigenous,1093
2024,105,Illawarra,Respite residential care,Unknown,185
2024,105,Illawarra,Short-term restorative care,Indigenous,1
2024,105,Illawarra,Short-term restorative care,Non-Indigenous,53
2024,105,Illawarra,Short-term restorative care,Unknown,10
2024,105,Illawarra,Transition care,Indigenous,8
2024,105,Illawarra,Transition care,Non-Indigenous,235
2024,105,Illawarra,Transition care,Unknown,85
2024,106,Inner West,Home care,Indigenous,6
2024,106,Inner West,Home care,Non-Indigenous,1798
2024,106,Inner West,Home care,Unknown,166
2024,106,Inner West,Permanent residential care,Indigenous,12
2024,106,Inner West,Permanent residential care,Non-Indigenous,896
2024,106,Inner West,Permanent residential care,Unknown,144
2024,106,Inner West,Respite residential care,Indigenous,9
2024,106,Inner West,Respite residential care,Non-Indigenous,1406
2024,106,Inner West,Respite residential care,Unknown,227
2024,106,Inner West,Short-term restorative care,Non-Indigenous,304
2024,106,Inner West,Short-term restorative care,Unknown,97
2024,106,Inner West,Transition care,Indigenous,4
2024,106,Inner West,Transition care,Non-Indigenous,191
2024,106,Inner West,Transition care,Unknown,58
2024,107,Mid North Coast,Home care,Indigenous,78
2024,107,Mid North Coast,Home care,Non-Indigenous,1774
2024,107,Mid North Coast,Home care,Unknown,294
2024,107,Mid North Coast,Permanent residential care,Indigenous,33
2024,107,Mid North Coast,Permanent residential care,Non-Indigenous,1347
2024,107,Mid North Coast,Permanent residential care,Unknown,179
2024,107,Mid North Coast,Respite residential care,Indigenous,52
2024,107,Mid North Coast,Respite residential care,Non-Indigenous,2334
2024,107,Mid North Coast,Respite residential care,Unknown,296
2024,107,Mid North Coast,Short-term restorative care,Indigenous,4
